sepal.length,sepal.width,petal.length,petal.width,variety
5.0,3.6,1.4,0.2,Setosa
5.0,3.4,1.5,0.2,Setosa
4.8,3.4,1.6,0.2,Setosa
5.8,4.0,1.2,0.2,Setosa
5.4,3.9,1.3,0.4,Setosa
4.8,3.4,1.9,0.2,Setosa
4.7,3.2,1.6,0.2,Setosa
5.4,3.4,1.5,0.4,Setosa
5.2,4.1,1.5,0.1,Setosa
5.5,3.5,1.3,0.2,Setosa
4.4,3.0,1.3,0.2,Setosa
5.1,3.4,1.5,0.2,Setosa
4.4,3.2,1.3,0.2,Setosa
4.6,3.2,1.4,0.2,Setosa
6.4,3.2,4.5,1.5,Versicolor
5.7,2.8,4.5,1.3,Versicolor
5.0,2.0,3.5,1.0,Versicolor
6.1,2.9,4.7,1.4,Versicolor
5.8,2.7,4.1,1.0,Versicolor
6.4,2.9,4.3,1.3,Versicolor
6.6,3.0,4.4,1.4,Versicolor
5.7,2.6,3.5,1.0,Versicolor
5.5,2.4,3.8,1.1,Versicolor
5.4,3.0,4.5,1.5,Versicolor
6.0,3.4,4.5,1.6,Versicolor
6.3,2.3,4.4,1.3,Versicolor
5.5,2.6,4.4,1.2,Versicolor
5.8,2.6,4.0,1.2,Versicolor
5.6,2.7,4.2,1.3,Versicolor
5.7,2.8,4.1,1.3,Versicolor
6.3,3.3,6.0,2.5,Virginica
6.4,2.7,5.3,1.9,Virginica
6.5,3.0,5.5,1.8,Virginica
7.7,3.8,6.7,2.2,Virginica
6.9,3.2,5.7,2.3,Virginica
6.2,2.8,4.8,1.8,Virginica
6.1,3.0,4.9,1.8,Virginica
7.2,3.0,5.8,1.6,Virginica
6.3,2.8,5.1,1.5,Virginica
6.1,2.6,5.6,1.4,Virginica
7.7,3.0,6.1,2.3,Virginica
6.0,3.0,4.8,1.8,Virginica
6.7,3.1,5.6,2.4,Virginica
6.9,3.1,5.1,2.3,Virginica
6.3,2.5,5.0,1.9,Virginica
